검색어,기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
세명이엔지,세명이엔지,중소기업,서울 송파구,기계·기계설비,2억원,36억8천만,이기만,1999.08.01(27년차)
세명이엔지,세명이엔지,중소기업,경기 광명시,전기·전자·제어,-,8억,송진학,1998.04.01(28년차)
티와이엠,티와이엠,중견기업,서울 용산구,기계·기계설비,761억 7천만원,"1조 1,661억원",김희용/김도훈,1960.02.01(66년차)
티와이엠,티와이엠,중소기업,충남 공주시,데이터베이스 및 온라인정보 제공업,24억 8천만원(2023.12.31),66억원7십만원(2023.12.31),김소원,2020.08.01(6년차)
티와이엠,동양미디어판매㈜,대기업 계열사·자회사,경기 파주시,출판·인쇄·사진,3억원(2024.12.31),214억 6천만원(2024.12.31),최문성,2013.09.16(13년차)
티와이엠,㈜루트,중견기업,충남 논산시,기계·기계설비,40억원5십만원,1438억,김희용,2007.10.24(19년차)
지엘중,-,-,-,-,-,-,-,-
성진,성진,중소기업,서울 동대문구,유선 온라인 게임 소프트웨어 개발 및 공급업,2억원,5조,김종태,2011.03.10(15년차)
성진,성진,중소기업,서울 서초구,시설관리·보안·경비,10억원,300억,강경훈,1999.01.11(27년차)
성진,성진,중소기업,서울 금천구,시설관리·보안·경비,10억원,200억,김은정,1999(27년차)
성진,성진,중소기업,광주 광산구,전기·전자·제어,"2억 5,000만원",308억,정상희,1994.05.01(32년차)
성진,성진,중소기업,경기도 시흥시,반도체 제조용 기계 제조업,15억원(2024.12.31),314억 1천만원(2024.12.31),양락운/양락주,1998.04.23(28년차)
성진,성진,중소기업,부산 북구,건설·시공·토목·조경,-,-,박천수,2012.08.22(14년차)
성진,성진,중소기업,대전 유성구,콜센터·아웃소싱·기타,-,-,손석천,1985(41년차)
성진,성진,중소기업,서울 동대문구,가방 및 기타 보호용 케이스 제조업,"1억 6,270만원(2024.12.31)","1,408억 3천만원(2024.12.31)",박용흠,2004.10.15(22년차)
성진,성진,중소기업,서울 성북구,택시 운송업,2억원(2018.12.31),83억 2천만원(2018.12.31),김재찬/김종훈,1970.09.01(56년차)
성진,성진,중소기업,경기 부천시,반도체 제조용 기계 제조업,"2억 5,000만원(2024.12.31)",96억 1천만원(2024.12.31),문용규,2011.03.09(15년차)
엘에이치종합건설,-,-,-,-,-,-,-,-
함평어민영어조합법인,-,-,-,-,-,-,-,-
영도금속,영도금속,중소기업,경기 용인시,생활용 유리ㆍ요업ㆍ목재ㆍ금속 제품 및 날붙이 도매업,-,-,차의주,1998.09.07(28년차)
경인냉열에스코,-,-,-,-,-,-,-,-
모션파이브,-,-,-,-,-,-,-,-
동호이엔지,동호ENG,중소기업,경기 남양주시,전자상거래 소매 중개업,-,-,송승환,-
동호이엔지,동호ENG,-,-,-,-,-,김성수,-
동호이엔지,동호eng/현대위아 AS,중소기업,대구 서구,상용 인력 공급 및 인사관리 서비스업,-,-,김상열,2008.09.01(18년차)
노석건설,-,-,-,-,-,-,-,-
한비이일,-,-,-,-,-,-,-,-
대영테크,대영테크,중소기업,경기 김포시,금속·재료·자재,"5,000만원(2022.12.31)",60억 8천만원(2022.12.31),이성규,2015.01.07(11년차)
대영테크,대영테크,중소기업,경기 부천시,기계·기계설비,3억원,50억,안동준,2000.03.31(26년차)
대영테크,대영테크,중소기업,대구광역시 달서구,금속 절삭기계 제조업,4억원(2024.12.31),37억 2천만원(2024.12.31),박동수,2006.01.23(20년차)
대영테크,대영테크,중소기업,경기도 안성시,기타 반도체소자 제조업,5억원(2022.12.31),32억 3천만원(2022.12.31),최병길,2013.04.01(13년차)
대영테크,대영테크,중소기업,경기도 화성시,주형 및 금형 제조업,"4억 5,000만원(2024.12.31)",27억 4천만원(2024.12.31),서영석,2013.06.25(13년차)
대영테크,대영테크,중소기업,경기 파주시,금속·재료·자재,-,-,김인성,-
대영테크,대영테크,중소기업,충북 음성군,기계·기계설비,-,-,김영범,-
대영테크,대영테크,-,-,-,-,-,장성원,-
대영테크,대영테크,중소기업,울산 북구,자동차 엔진용 신품 부품 제조업,51억 8천만원(2023.12.31),154억 4천만원(2023.12.31),변권섭,2007.10.11(19년차)
대영테크,대영우드테크,-,-,-,-,-,장영준,-
다원,다원,중견기업,경기 안산시,"전기회로 개폐, 보호장치 제조업",190억 8천만원(2024.12.31),"2,610억 2천만원(2024.12.31)",박선순,1996.01.15(30년차)
다원,다원,중소기업,경기 화성시,그 외 기타 특수목적용 기계 제조업,12억원(2024.12.31),124억 5천만원(2024.12.31),최창호,1993.11.10(33년차)
다원,다원,중견기업,서울 강남구,"도배, 실내장식 및 내장 목공사업",17억 2천만원(2024.12.31),"4,681억 5천만원(2024.12.31)",조서윤/이태일,1995.09.01(31년차)
다원,다원,중소기업,서울 서초구,"화물운송 중개, 대리 및 관련 서비스업",5억원(2024.12.31),284억 1천만원(2024.12.31),김근택,2017.07.07(9년차)
다원,다원,중소기업,충남 아산시,콜센터·아웃소싱·기타,-,-,김현호,-
다원,다원,중소기업,경기도 화성시,그 외 기타 분류 안된 사업지원 서비스업,100만원(2023.12.31),75억 8천만원(2023.12.31),최희정,2020.09.15(6년차)
다원,다원,중소기업,경기 수원시,경비 및 경호 서비스업,3억원(2020.12.31),89억(2024년),전희주,2011.02.17(15년차)
다원,다원,중견기업,서울 서초구,학원·어학원·교육원,-,-,고루다,2004.12.23(22년차)
다원,다원,중소기업,서울 마포구,섬유·의류·패션,10억원,300억,정근용,1995(31년차)
다원,다원,중소기업,대전 서구,사업시설 유지.관리 서비스업,3억 500만원(2024.12.31),128억 4천만원(2024.12.31),박노천,2010.12.16(16년차)
케이에이치리텍,케이에이치리텍,중소기업,울산 울주군,생활용품·소비재·기타,-,-,강성찬,-
새로닉스,㈜엘앤에프,중견기업,대구 달서구,축전지 제조업,181억 4천만원(2024.12.31),"1조 9,031억원(2024.12.31)",최수안,2000.07.27(26년차)
