검색어,기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
다인엔시스,다인엔시스,중소기업,서울 강서구,컴퓨터·하드웨어·장비,"5,000만원",연77억,"김정희, 이재훈",2013.01.28(13년차)
유엔약품,유엔약품,중소기업,대전 동구,기타 화학물질 및 화학제품 도매업,"5억 1,000만원(2024.12.31)",465억 1천만원(2024.12.31),이상열,2011.08.16(15년차)
무브,해브앤비 유한회사,중견기업,서울 강남구,생활화학·화장품,-,"6,300억원",크리스토퍼킨더슬리우드,2004.12.24(22년차)
무브,㈜애드쿠아인터렉티브,중소기업,서울 강남구,광고·홍보·전시,5억원,750억 9천만,정건영,2002.12.20(24년차)
무브,무브,벤처기업,경기 파주시,게임·애니메이션,21억원,237억,김동성,2000.08.02(26년차)
무브,무브,대기업,서울 종로구,윤활유 및 그리스 제조업,"1,000억원(2024.12.31)",4조 531억원(2024.12.31),김원기,2009.10.01(17년차)
무브,㈜서브원,중견기업,서울 종로구,전자상거래 소매업,58억 6천만원(2024.12.31),"2조 9,938억원(2024.12.31)",이국환,2018.12.01(8년차)
무브,브이엠에스솔루션스,벤처기업,경기 용인시,솔루션·SI·CRM·ERP,5억원,100억,김병희,2000(26년차)
무브,엔브이에이치코리아㈜,중견기업,경북 경주시,자동차 차체용 신품 부품 제조업,220억 4천만원(2024.12.31),"5,318억 6천만원(2024.12.31)",구자겸/이규양,1984.02.01(42년차)
무브,무브,중소기업,서울 강남구,은행·금융,11억 2천만원(2024.12.31),"1억 9,815만원(2024.12.31)",이상규,2012.02.15(14년차)
무브,무브,중소기업,서울 종로구,호텔·여행·항공,-,-,주식회사 무브,2020.05.04(6년차)
무브,㈜코마스인터렉티브,중소기업,서울 강남구,광고·홍보·전시,-,-,-,-
건양종합건설,건양종합건설,중소기업,경기 화성시,기타 비주거용 건물 건설업,5억원(2024.12.31),76억원2십만원(2024.12.31),이인광,2016.05.01(10년차)
그린콤,그린콤,중소기업,경기 안양시,응용 소프트웨어 개발 및 공급업,7억원(2015.12.31),"2억 9,276만원(2015.12.31)",신기철,2011.06.21(15년차)
그린콤,그린콤,중소기업,강원 원주시,그 외 기타 달리 분류되지 않은 제품 제조업,-,-,윤희선,2009.09.23(17년차)
그린콤,그린비텔레콤,-,-,-,-,-,박상경,-
그린콤,그린텔레콤,중소기업,경기 시흥시,통신기기 소매업,-,-,김혜선,1998.12.01(28년차)
에스월드,㈜에스씨월드,중소기업,경기 수원시,사업시설 유지.관리 서비스업,15억원(2024.12.31),139억 2천만원(2024.12.31),정원남,2014.01.01(12년차)
에스월드,에스월드,중소기업,서울 노원구,그 외 기타 생활용품 도매업,-,-,이병하,2009(17년차)
에스월드,에스월드,중소기업,강원 춘천시,경비 및 경호 서비스업,2억원(2023.12.31),"5억 1,567만원(2023.12.31)",김승훈,2007.01.01(19년차)
에스월드,㈜에스앤씨월드,중소기업,서울 서초구,사업시설 유지.관리 서비스업,1억원,-,송명수,2022.04.01(4년차)
에스월드,에스월드,중소기업,서울 서대문구,단추 및 유사 파스너 제조업,"1,000만원(2024.12.31)","3억 3,751만원(2024.12.31)",최경훈,2018.03.21(8년차)
에스월드,에스월드,중소기업,경기 화성시,그 외 자동차용 신품 부품 제조업,-,-,최주찬,2011.05.01(15년차)
에스월드,에스엔월드,중소기업,서울 서초구,"컴퓨터 및 주변장치, 소프트웨어 도매업",-,-,고기택/신종우,-
에스월드,에스월드,중소기업,경기 고양시,건설·시공·토목·조경,-,-,김동욱,2007.08.07(19년차)
에스월드,㈜월드엠에스,벤처기업,서울 성동구,식품가공,5억 810만원,"18억 2,758만",김종옥,2010.09.28(16년차)
에스월드,㈜에스티엠월드,중소기업,서울 서초구,백화점·유통·도소매,1억원,현재 월 1억 매출,이남출,2019.03.20(7년차)
비제이팜,비제이팜,중소기업,전남 나주시,의약품 도매업,"5억 1,000만원(2023.12.31)",81억 2천만원(2023.12.31),김영준,2018.01.20(8년차)
선문그린사이언스(주)전주,-,-,-,-,-,-,-,-
알엔알파트너스그룹,-,-,-,-,-,-,-,-
태현에스디,태현에스디,중소기업,경기 광주시,영화관 운영업,16억원(2024.12.31),53억 7백만원(2024.12.31),김응태,2015.11.13(11년차)
제이엔프리모,제이엔프리모,중소기업,경기 화성시,"채소류, 서류 및 향신작물류 도매업",1억원(2024.12.31),120억 6천만원(2024.12.31),이재봉,2015.11.04(11년차)
포앤비,포앤비,중소기업,서울 성동구,솔루션·SI·CRM·ERP,3억원,22억원,김제성,2000.05.04(26년차)
포앤비,㈜포에프앤비,중소기업,서울 강남구,간이음식 포장 판매 전문점,1억원,-,정성범,2017.01.04(9년차)
포앤비,포에이치앤비㈜,중소기업,경기 수원시,그 외 기타 전기장비 제조업,1억원,분사전 50억,유승국,2019.01.16(7년차)
포앤비,㈜포시너지에프앤비,중소기업,광주 광산구,음식료·외식·프랜차이즈,-,-,lim sung yeol,2022.08.05(4년차)
포앤비,포시즌 F&B,-,-,-,-,-,김대웅,-
다원텍,㈜다원솔루텍,벤처기업,서울 구로구,게임·애니메이션,"2억 1,000만원",-,이병양,2017.02.02(9년차)
다원텍,다원켐텍,중소기업,인천 미추홀구,화학·에너지·환경,"2,000만원",6억 5천만,도승현,2016.10.10(10년차)
다원텍,다원솔&텍,중소기업,경기 안양시,상품 종합 도매업,-,-,유형기,2001.11.26(25년차)
다원텍,다원텍,중소기업,서울 중구,섬유·의류·패션,1억원,170억,정성원,2011.06.11(15년차)
다원텍,다원텍,중소기업,경기 의정부시,화학섬유직물 직조업,-,-,이장우,2010.11.01(16년차)
라온저축은행,-,-,-,-,-,-,-,-
유투,유투,중소기업,서울 송파구,솔루션·SI·CRM·ERP,12억 6천만원,505억 5천만,김진태,2009.01.02(17년차)
유투,유투,중소기업,경기 용인시,응용 소프트웨어 개발 및 공급업,2억원(2024.12.31),61억 5천만,이지석,2010.11.05(16년차)
유투,유투,중소기업,서울 강남구,기타 종이 및 판지 제품 제조업,"8,000만원(2018.12.31)",12억 2천만원(2018.12.31),박희원,2013.11.27(13년차)
유투,유투,중소기업,서울 강남구,모바일·APP,-,-,최민진,2002.08.16(24년차)
유투,유투,중소기업,경기도 남양주시,제약·보건·바이오,-,-,홍승모,2009.09.08(17년차)
유투,유투,비영리단체·교육재단,서울 송파구,제약·보건·바이오,-,-,허성철,2000.10.01(26년차)
유투,유투,중소기업,광주 광산구,컴퓨터·하드웨어·장비,-,-,강철원,2009.05.20(17년차)
유투,유투,중소기업,서울 성동구,가죽의복 제조업,"5,000만원(2022.12.31)",31억 8천만원(2022.12.31),김태현,2013.10.01(13년차)
유투,유투,중소기업,인천 계양구,그 외 기타 보건업,-,-,명유동,2017.01.01(9년차)
유투,유투,중소기업,경기 수원시,의료기기 도매업,-,-,김상준,2020.03.17(6년차)
점앤선,점앤선,중소기업,경기 고양시,벽 및 바닥 피복용 플라스틱제품 제조업,1억원(2020.12.31),41억 3천만원(2020.12.31),김태실,2010.03.10(16년차)
승환종합건설,-,-,-,-,-,-,-,-
용민건설,㈜용민종합건설,중소기업,전북 군산시,토목시설물 건설업,12억원(2023.12.31),55억 5천만원(2023.12.31),박용희,2001.03.01(25년차)
동일스위트,동일스위트,-,-,-,-,-,이충한,-
동일스위트,동일스위트,비영리법인,부산 기장군,비주거용 건물 임대업,-,-,최경식,2015.06.24(11년차)
동일스위트,동일스위트,-,-,-,-,-,이석훈,-
동일스위트,동일스위트,-,-,-,-,-,이승철,-
동일스위트,동일스위트,-,-,-,-,-,유선화,-
태림종합건설,태림종합건설,중소기업,부산 수영구,기타 비주거용 건물 건설업,22억원(2024.12.31),103억 8천만원(2024.12.31),정형열,1994.11.01(32년차)
태림종합건설,태림종합건설,중소기업,경기 의정부시,건설·시공·토목·조경,6억원,210억,"신성용, 이철의",2000.05.04(26년차)
지에스씨,지에스씨,중소기업,서울 마포구,무역·상사,-,770억,"황두용, 조진환",2010.03.17(16년차)
지에스씨,지에스씨,중소기업,경기 화성시,그 외 자동차용 신품 부품 제조업,13억원(2024.12.31),798억 4천만원(2024.12.31),서석교,2002.06.05(24년차)
지에스씨,지에스씨,중소기업,세종,서치펌·헤드헌팅,-,-,박용수,2010.01.03(16년차)
지에스씨,씨지에스아이티㈜,중소기업,서울 금천구,IT컨설팅,"4억 1,000만원",85억,최규식,2006.04.10(20년차)
지에스씨,지에스씨,중소기업,서울 강남구,통신.방송장비 및 부품 도매업,3억원,100억,오에릭종,2009.12.11(17년차)
지에스씨,㈜씨지에스,중소기업,경기 김포시,기타 자동차 신품 부품 및 내장품 판매업,5억원(2024.12.31),63억 5백만원(2024.12.31),김재기,2004.10.29(22년차)
지에스씨,씨지에스(씨지에스),중소기업,경기 수원시,통신기기 소매업,"1,000만원(2019.12.31)",22억 4천만원(2019.12.31),고동균,2014.06.01(12년차)
지에스씨,㈜씨엔이지에스,중소기업,경기 안양시,전기경보 및 신호장치 제조업,5억원(2021.12.31),287억 8천만원(2021.12.31),이종훈,1991.07.01(35년차)
지에스씨,지에스씨,중소기업,경기 고양시,텔레비전 제조업,"1억 5,000만원(2024.12.31)","4억 7,546만원(2024.12.31)",이용철,2012.08.01(14년차)
지에스씨,지에스씨,중소기업,서울 강남구,골프연습장 운영업,-,-,서민재,-
씨에스건설,LG CNS,대기업,서울 영등포구,컴퓨터시스템 통합 자문 및 구축 서비스업,471억 9천만원(2024.12.31),"5조 4,075억원(2024.12.31)",현신균,1987.01.14(39년차)
씨에스건설,㈜아이패밀리SC,중소기업,서울 송파구,생활화학·화장품,43억원4십만원,1486억,"김태욱,김성현",2000.02.29(26년차)
씨에스건설,㈜씨에스원파트너,대기업 계열사·자회사,서울 금천구,네트워크·통신서비스,2억원(2024.12.31),994억 6천만원(2024.12.31),이금자,2008.09.01(18년차)
씨에스건설,㈜씨에스리더,대기업,서울 강남구,콜센터 및 텔레마케팅 서비스업,-,-,-,-
씨에스건설,씨에스케이㈜  (CSK Inc. ),외국계(외국 법인기타),경기 용인시,반도체·디스플레이·광학,12억 7천만원,2000억,YUN JASON JAEHONG(윤재홍),1997.07.01(29년차)
씨에스건설,DB CSI손해사정㈜,대기업 계열사·자회사,서울 강남구,증권·보험·카드,2억원(2024.12.31),380억,전흥태,2011.04.01(15년차)
씨에스건설,대성씨앤에스,중견기업,서울특별시 금천구,"치약, 비누 및 기타 세제 제조업",75억원(2024.12.31),314억 2천만원(2024.12.31),강성윤/김영대,1989.09.27(37년차)
씨에스건설,한일전기씨에스㈜,중소기업,서울 영등포구,기타 일반 기계 및 장비 수리업,"4억 9,556만원(2024.12.31)",94억원2만원(2024.12.31),김범수,2006.10.02(20년차)
씨에스건설,서진씨엔에스(주),벤처기업,충북 청주시,솔루션·SI·CRM·ERP,-,-,김재영,2000(26년차)
씨에스건설,한국씨엔에스㈜,중소기업,경기 용인시,기계·기계설비,-,200억,김태영,1998.09.30(28년차)
춘천교육대학교산학협력단,춘천교육대학교산학협력단,비영리법인,강원 춘천시,기타 전문 서비스업,-,"5억 3,662만원(2016.02.29)",김태호,2004.02.11(22년차)
당진세명물류,-,-,-,-,-,-,-,-
미래건설산업,미래건설산업,중소기업,울산 중구,건설·시공·토목·조경,5억원,1만원,조 정 칠,1999(27년차)
미래건설산업,미래건설산업,중소기업,경기 이천시,건물 건설업,6억원(2024.12.31),64억 1천만원(2024.12.31),성순찬,2010.02.01(16년차)
미래건설산업,미래산업건설,중소기업,경기도 화성시,그 외 기타 건축 마무리 공사업,2억원(2021.12.31),12억 9천만원(2021.12.31),이경진,2020.01.08(6년차)
미래건설산업,미래산업건설,중소기업,대구 북구,건물용 금속공작물 설치 공사업,-,-,이영주,-
미래건설산업,미래건설산업,중소기업,부산 금정구,건설·시공·토목·조경,-,-,최평원,2009.10.16(17년차)
코스코엠알오,코스코엠알오,중소기업,서울 서초구,쇼핑몰·오픈마켓·소셜커머스,"3억 8,000만원",-,이학수,2009.12.09(17년차)
대림오토,대림오토,중소기업,경기 시흥시,그 외 자동차용 신품 부품 제조업,"5,880만원(2024.12.31)",88억 2천만원(2024.12.31),전일재,2010.04.08(16년차)
대림오토,대림오토,-,-,-,-,-,김용화,-
건설환경품질연구원,건설환경품질연구원,중소기업,경기 군포시,"기타 기술 시험, 검사 및 분석업","5,000만원(2020.12.31)",12억 3천만원(2020.12.31),이성복,2016.08.02(10년차)
은성케미칼,-,-,-,-,-,-,-,-
팀케이필름,-,-,-,-,-,-,-,-
에스에이기업,케이에스에이 중소기업 지원센터,-,-,-,-,-,이상득,-
아워홈새한미디어충주점,-,-,-,-,-,-,-,-
유진피앤앨,유진피앤앨,중소기업,경기 양주시,포장용 플라스틱 성형용기 제조업,"1,000만원(2021.12.31)",22억 7천만원(2021.12.31),박은정,2016.07.19(10년차)
유진피앤앨,유진이앤지,중소기업,경기 평택시,산업처리공정 제어장비 제조업,1억 500만원(2024.12.31),20억 7천만원(2024.12.31),변희근/조인옥,2017.07.24(9년차)
유진피앤앨,유진피앤테크㈜,중소기업,세종,건설·시공·토목·조경,-,-,황순선,-
유진피앤앨,유진비엔에프㈜,중소기업,경기 남양주시,식품가공,-,-,이정진,2024.08.20(2년차)
유진피앤앨,유진피앤비,중소기업,서울 종로구,기타 인쇄업,"5,879만원(2017.12.31)","2억 5,523만원(2017.12.31)",정진섭,1984.06.02(42년차)
유진피앤앨,유진에프앤에스,중소기업,인천 계양구,건어물 및 젓갈류 도매업,5억원,연 120억,장상일,2009.04.01(17년차)
유진피앤앨,유진에너지컨설팅,중소기업,경기 안양시,기타 엔지니어링 서비스업,415만원(2016.12.31),"3억 4,438만원(2016.12.31)",이중용,2007.02.10(19년차)
로보웰,로보웰,중소기업,경기 고양시,자동차·조선·철강·항공,"2억 5,641만원",130억,조덕진,1975.06.05(51년차)
로보웰,로보웰,중소기업,인천 부평구,전기·전자·제어,-,-,강현석,2018.07.27(8년차)
엘투케이알,엘투케이알,중소기업,경기 부천시,생활용품·소비재·기타,1억원,200억,이효형,2010(16년차)
엘투케이알,엘투케이알,중소기업,서울 강남구,방송·케이블·프로덕션,-,-,류재중,-
초당약품공업(주)안산공장,-,-,-,-,-,-,-,-
제주물마루된장학교영농조합법인,-,-,-,-,-,-,-,-
세화프라스틱,-,-,-,-,-,-,-,-
진명플러스,-,-,-,-,-,-,-,-
대일테크놀러지,-,-,-,-,-,-,-,-
모던테크,모던테크,중소기업,대구 달성군,전기·전자·제어,3억원,200억,김상흔,2005.12.01(21년차)
모던테크,모던테크,중소기업,대구 달성군,스크린 인쇄업,"6,600만원(2019.12.31)","8,304만원(2019.12.31)",김상흔,2015.12.01(11년차)
모던테크,모던테크,중소기업,경기 안산시,기계·기계설비,2억원,40억,이왕하,2007.03.19(19년차)
모던테크,모던센스테크,중소기업,경기 수원시,"화물운송 중개, 대리 및 관련 서비스업","1억 2,000만원(2021.12.31)",7억 545만원(2021.12.31),김장권,2017.07.01(9년차)
모던테크,모던테크,-,-,-,-,-,김선춘,-
미래재생,-,-,-,-,-,-,-,-
댄,댄,중소기업,서울 서초구,음식료·외식·프랜차이즈,"5,000만원",220억,홍수현,1981.06.01(45년차)
댄,댄,중소기업,서울 강남구,응용 소프트웨어 개발 및 공급업,1억원(2023.12.31),"7억 3,432만원(2023.12.31)",백종욱,2021.10.05(5년차)
댄,댄,벤처기업,경기 파주시,섬유·의류·패션,-,30억,최이현,2015.06.01(11년차)
댄,댄,중소기업,서울 노원구,음식료·외식·프랜차이즈,-,-,김은영,-
댄,댄,중소기업,서울 서초구,음식료·외식·프랜차이즈,-,-,홍수현,-
댄,댄,-,-,-,-,-,SUHMYUNGIN,-
댄,댄,-,-,-,-,-,이현정,-
댄,댄,중소기업,서울 구로구,화장품 제조업,100만원(2024.12.31),19억 8천만원(2024.12.31),이형민/박효인,2022.03.10(4년차)
댄,댄,-,-,-,-,-,한건호 외 1명,2021.03.11(5년차)
댄,댄,-,-,-,-,-,허하영,-
수에프앤에스,-,-,-,-,-,-,-,-
상현이앤지,-,-,-,-,-,-,-,-
알엔디,알엔디,중소기업,경기 성남시,화학·에너지·환경,3억원(2024.12.31),331억 5천만원(2024.12.31),고안상/박형인,1986.07.10(40년차)
알엔디,알엔디,중소기업,충북 청주시,기타 토목시설물 건설업,-,-,한일훈,2020.05.20(6년차)
알엔디,알엔디,중소기업,경기 파주시,금속·재료·자재,-,-,장일선,2008.04.29(18년차)
알엔디,알엔디,중소기업,경기 김포시,솔루션·SI·CRM·ERP,-,-,서완식,2019.11.11(7년차)
알엔디,알엔디,중소기업,서울 성동구,기계·기계설비,"2억 5,000만원",150억,김회복,1988.02.28(38년차)
알엔디,알엔디,중소기업,서울 구로구,응용 소프트웨어 개발 및 공급업,"5,000만원(2023.12.31)",13억 6천만원(2023.12.31),장원석,2013.03.26(13년차)
알엔디,알엔디,중소기업,경기 성남시,그 외 기타 의료용 기기 제조업,"5,000만원(2024.12.31)",182억 2천만원(2024.12.31),김진홍,2014.02.01(12년차)
알엔디,알엔디,중소기업,경기 하남시,전동기 및 발전기 제조업,30억원(2019.12.31),15억 6천만원(2019.12.31),이정용,2013.12.01(13년차)
알엔디,알엔디,중소기업,서울 송파구,부동산·중개·임대,3억원,-,권소정,2005.06.29(21년차)
알엔디,알엔디,중소기업,광주 광산구,음ㆍ식료품 및 담배 가공기계 제조업,"4억 5,000만원(2023.12.31)",26억 9천만원(2023.12.31),송재륜,2015.12.03(11년차)
함께하는시소,-,-,-,-,-,-,-,-
광성전업,광성전업,중소기업,서울 강남구,일반전기 공사업,12억원(2023.12.31),100억,박준경,1986.06.25(40년차)
페어뷰디벨롭먼트,-,-,-,-,-,-,-,-
위페이퍼,-,-,-,-,-,-,-,-
아라파트너스,-,-,-,-,-,-,-,-
짚트랙코리아,짚트랙코리아,중소기업,충남 보령시,기타 오락장 운영업,5억원(2020.12.31),12억 3천만원(2020.12.31),황득성,2009.12.16(17년차)
유티모스트아이엔에스,유티모스트아이엔에스,중견기업,서울 종로구,IT컨설팅,500억원,5000억,박흥태,2000.07.19(26년차)
세기에너지,세기에너지,중소기업,울산 남구,철물 및 난방용구 소매업,-,-,한기철,2003.04.10(23년차)
세한이엔지,세한이엔지,중소기업,경기 시흥시,금속·재료·자재,"5,000만원",1백5십3억원,김기욱,1974.07.01(52년차)
세한이엔지,세한이엔지,중소기업,충북 청주시,"금속 문, 창, 셔터 및 관련제품 제조업","5,000만원(2022.12.31)",26억 5천만원(2022.12.31),강성원,2015.10.23(11년차)
세한이엔지,세한이엔지,-,-,-,-,-,박치홍,-
신성석건,신성석건,중소기업,전북 익산시,건설·시공·토목·조경,"3억 3,200만원",23억,유인식,1998(28년차)
신성석건,신성석건,-,-,-,-,-,김현숙,-
뉴로벤티,뉴로벤티,중소기업,서울 광진구,기초 의약물질 및 생물학적 제제 제조업,"6억 6,466만원(2023.12.31)","1억 8,722만원(2023.12.31)",서동철/신찬영,2015.07.01(11년차)
호반영농조합법인,-,-,-,-,-,-,-,-
강한손,-,-,-,-,-,-,-,-
상봉정밀,상봉정밀,중소기업,광주 북구,기계·기계설비,-,-,-,-
주원종합건설,주원종합건설,중소기업,인천 서구,기타 공동 주택 건설업,-,-,-,-
주원종합건설,주원종합건설,중소기업,부산 사상구,사무.상업용 및 공공기관용 건물 건설업,-,-,-,-
주원종합건설,주원종합건설,중소기업,제주 제주시,건설·시공·토목·조경,-,-,-,-
태일이엔씨,-,-,-,-,-,-,-,-
인티그럴송도,-,-,-,-,-,-,-,-
캐스,캐스,중소기업,충남 아산시,자동차·조선·철강·항공,-,-,-,-
캐스,캐스,중소기업,서울 송파구,수산물 가공식품 도매업,-,-,-,-
캐스,캐스,-,-,-,-,-,-,-
캐스,캐스,중소기업,서울 송파구,건설·시공·토목·조경,-,-,-,-
캐스,캐스,중소기업,부산 강서구,자동차·조선·철강·항공,-,-,-,-
캐스,캐스,중소기업,경기 성남시,의학 및 약학 연구개발업,-,-,리차드현박,2020.03.23(6년차)
캐스,캐스,중소기업,서울 강남구,매니저업,-,-,-,-
캐스,캐스,-,-,-,-,-,-,-
캐스,캐스,중소기업,서울 영등포구,한식 일반 음식점업,-,-,-,-
캐스,캐스,중소기업,경남 함안군,금속·재료·자재,-,-,-,-
과일드림,과일드림,-,-,-,-,-,-,-
스퀘어베이스,스퀘어베이스,중소기업,강원 원주시,컴퓨터 프로그래밍 서비스업,-,-,-,-
서경전기,서경전기,중소기업,서울 종로구,건축·설비·환경,-,-,-,-
서경전기,서경전기,중소기업,경기 의정부시,건축·설비·환경,-,-,-,-
키트솔루션,-,-,-,-,-,-,-,-
국제여객,국제여객,중소기업,부산 동래구,시내버스 운송업,-,-,-,-
국제여객,국제특수여객운송㈜,중소기업,서울 강남구,특수여객자동차 운송업,-,-,-,-
영진포장,영진포장,중소기업,경북 구미시,골판지 제조업,-,-,-,-
헬로우팜,헬로우팜,중소기업,경기 성남시,경영 컨설팅업,-,-,-,-
헬로우팜,헬로팜,중소기업,경기 김포시,그 외 기타 생활용품 도매업,-,-,-,-
헬로우팜,헬로우팜,중소기업,경기 고양시,백화점·유통·도소매,-,-,-,-
헬로우팜,주식회사 헬로팜,중소기업,대전 대덕구,백화점·유통·도소매,-,-,-,-
한라프랜트,-,-,-,-,-,-,-,-
남호,남호,중소기업,경남 양산시,"금속류 해체, 선별 및 원료 재생업",-,-,-,-
남호,남호,중소기업,경기 광주시,유압기기 제조업,-,-,-,-
남호,남호,중소기업,경기 화성시,금속·재료·자재,-,-,-,-
남호,남호,-,-,-,-,-,-,-
남호,남호,-,-,-,-,-,-,-
남호,남호,중소기업,광주 북구,"미장, 타일 및 방수 공사업",-,-,-,-
남호,남호,-,-,-,-,-,-,-
남호,남호,-,-,-,-,-,-,-
남호,남호,-,-,-,-,-,-,-
남호,남호,중소기업,경기 화성시,금속·재료·자재,-,-,-,-
에스티에스시스템,에스티에스시스템,중소기업,서울 금천구,컴퓨터시스템 통합 자문 및 구축 서비스업,-,-,-,-
삼일조경,-,-,-,-,-,-,-,-
유덕농산,유덕농산,중소기업,경기 구리시,"채소류, 서류 및 향신작물류 도매업",-,-,-,-
태종종합건설,-,-,-,-,-,-,-,-
에스엠코퍼레이션,에스엠코퍼레이션,중소기업,인천 서구,기타 반도체소자 제조업,-,-,-,-
에스엠코퍼레이션,에스엠코퍼레이션,중소기업,충남 천안시,"기타 섬유, 의복 및 가죽 가공 기계 제조업",-,-,-,-
에스엠코퍼레이션,에스엠코퍼레이션,중소기업,서울 강서구,그 외 기타 분류 안된 사업지원 서비스업,-,-,-,-
에스엠코퍼레이션,에스엠코퍼레이션,중소기업,서울 금천구,섬유·의류·패션,-,-,-,-
이엔비,한국일보이앤비,중소기업,서울 중구,광고 대행업,-,-,-,-
이엔비,㈜이앤비,중소기업,서울 영등포구,백화점·유통·도소매,-,-,-,-
이엔비,이엔비,중소기업,충북 단양군,호텔·여행·항공,-,-,-,-
이엔비,㈜화신이앤비,중소기업,인천 연수구,일반용 전기 조명장치 제조업,-,-,-,-
이엔비,이엔비,중소기업,서울 성동구,섬유·의류·패션,-,-,-,-
이엔비,이엔비,중소기업,충북 영동군,그 외 기타 전자부품 제조업,-,-,-,-
이엔비,㈜삼원이앤비,중소기업,경기 시흥시,산업용 송풍기 및 배기장치 제조업,-,-,-,-
이엔비,이엔비,중소기업,서울 강남구,화장품 및 화장용품 도매업,-,-,-,-
이엔비,비앤비지,중소기업,서울 강남구,방송 프로그램 제작업,-,-,-,-
이엔비,이엔비,중소기업,경기 시흥시,유압기기 제조업,-,-,-,-
성진켐텍,-,-,-,-,-,-,-,-
현대엠시트,현대엠시트,대기업,충남 아산시,자동차용 신품 의자 제조업,-,-,-,-
대한기전,대한기전,중소기업,경기 김포시,기계·기계설비,-,-,-,-
대한기전,대한기전,중소기업,부산 강서구,전기·전자·제어,-,-,-,-
대한기전,㈔대한용사장애인협회 기전사업소,-,-,-,-,-,-,-
상문,상문,중소기업,경기 화성시,그 외 자동차용 신품 부품 제조업,-,-,-,-
상문,상문,중소기업,경기 부천시,여자용 겉옷 제조업,3억원(2023.12.31),35억 1천만원(2023.12.31),이상훈,1991.05.01(35년차)
상문,상문,중소기업,경남 거제시,학원·어학원·교육원,-,-,유은하,2018.09.10(8년차)
상문,상문,중소기업,서울 용산구,출판·인쇄·사진,-,-,-,-
상문,상문,-,-,-,-,-,-,-
상문,상문,중소기업,인천 미추홀구,"서적, 잡지 및 기타 인쇄물 도매업",-,-,-,-
상문,상문,-,-,-,-,-,-,-
상문,상문,-,-,-,-,-,-,-
한탑디앤씨,-,-,-,-,-,-,-,-
베델원,베델원,중소기업,서울 성동구,무역·상사,-,-,-,-
베델원,베델원,중소기업,인천 남동구,금속·재료·자재,-,-,-,-
국제냉동,국제냉동,중소기업,대전 대덕구,건물용 기계.장비 설치 공사업,-,-,-,-
국제냉동,국제냉동,중소기업,제주 제주시,"신선, 냉동 및 기타 수산물 도매업",-,-,-,-
국제냉동,포항국제물류센터냉동창고,중소기업,경북 포항시,냉장 및 냉동 창고업,-,-,-,-
국제냉동,국제냉동,중소기업,충남 태안군,가전제품 소매업,-,-,-,-
국제냉동,국제냉동,-,-,-,-,-,-,-
에스에스티엠,에스에스티엠,중소기업,경기 시흥시,기타 산업용 기계 및 장비 도매업,-,-,-,-
제이엑스메탈,-,-,-,-,-,-,-,-
성원상사,성원상사,중소기업,경기 양주시,기타 자동차 신품 부품 및 내장품 판매업,-,-,-,-
성원상사,성원상사,-,-,-,-,-,-,-
성원상사,성원상사,-,-,-,-,-,-,-
성원상사,성원상사,중소기업,경기 용인시,물류·운송·배송,-,-,-,-
성원상사,성원상사,-,-,-,-,-,-,-
성원상사,성원상사,개인,인천 서구,기타 건축자재 도매업,-,-,-,-
성원상사,성원종합상사,중소기업,서울 중랑구,의복 액세서리 및 모조 장신구 도매업,-,-,-,-
성원상사,성원산소상사,-,-,-,-,-,-,-
성원상사,성원유리상사,중소기업,경북 포항시,일반 건축자재 도매업,-,-,-,-
성원상사,성원상사,-,-,-,-,-,-,-
토지정보서비스,-,-,-,-,-,-,-,-
스위트북,스위트북,중소기업,서울 금천구,경 인쇄업,-,-,-,-
삼육오푸드원,-,-,-,-,-,-,-,-
하나엘리베이터,하나승강기,중소기업,경기 오산시,건물용 기계.장비 설치 공사업,-,-,-,-
하나엘리베이터,하나엘리베이터,중소기업,인천 남동구,기타 일반 기계 및 장비 수리업,-,-,-,-
하나엘리베이터,하나엘리베이터,중소기업,경기 고양시,가전제품 수리업,-,-,-,-
하나엘리베이터,하나엘리베이터,중소기업,서울특별시 금천구,기타 엔지니어링 서비스업,-,-,-,-
하나엘리베이터,하나엘리베이터,중소기업,경기 화성시,사업시설 유지.관리 서비스업,-,-,-,-
어바웃굿즈,어바웃굿즈,중소기업,서울 용산구,기타 가공식품 도매업,-,-,-,-
홍익산업개발,홍익산업개발,중소기업,서울 구로구,기타 토목시설물 건설업,-,-,-,-
대주건설산업,대주건설산업,중소기업,강원 원주시,토목시설물 건설업,-,-,-,-
대주건설산업,대주건설산업,중소기업,충청남도 천안시,건물 건설업,-,-,-,-
사회복지법인한마음,한마음의집(사회복지법인 한마음),비영리단체·교육재단,대전 서구,제약·보건·바이오,-,-,-,-
엔투,엔투,중소기업,서울 강남구,생활용품·소비재·기타,-,-,-,-
엔투,엔투,중소기업,경기 안성시,반도체 제조용 기계 제조업,-,-,-,-
엔투,㈜엠투엔,중소기업,서울 영등포구,금속·재료·자재,-,-,-,-
엔투,엔투,중소기업,경기 수원시,응용 소프트웨어 개발 및 공급업,-,-,-,-
엔투,㈜엠투엔,중소기업,전남 여수시,금속·재료·자재,-,-,-,-
엔투,엔투,-,-,-,-,-,-,-
엔투,엔투,중소기업,서울 성동구,웹에이전시,-,-,-,-
